pressure,temperature,crystal,potential_energy,kinetic_energy,volume,enthalpy
1.0,0.35,liquid,-1.8185191853691562,0.1311698314313014,1.4511682101351346,-1.6869950643072429
1.0,0.35,p2,-2.012214572207341,0.13113363062425595,1.411950610920139,-1.8809936257684958
1.0,0.35,p2gg,-2.004629966965526,0.13126702876934526,1.4134370381374013,-1.8732754259400342
1.0,0.35,pg,-1.9009015408519345,0.13117659081770833,1.4150064345014872,-1.7696372949741752
1.0,0.36,liquid,-1.8102623083350902,0.13491389805874152,1.4533480352221146,-1.6749935493176469
1.0,0.36,p2,-2.0078014832862103,0.1349982661525298,1.4129363714930554,-1.8727155672957851
1.0,0.36,p2gg,-2.0000116004228663,0.13502317749082338,1.4146084810181059,-1.8649009751637218
1.0,0.36,pg,-1.8941675857353688,0.13500283753707837,1.4189676509635418,-1.7590768532722758
1.0,0.37,liquid,-1.8004867147502976,0.13865383603897913,1.4560612902649603,-1.6614775854841417
1.0,0.37,p2,-2.0032533358246525,0.13877506667658734,1.4139748519642847,-1.8643905114284742
1.0,0.37,p2gg,-1.9953929528695442,0.13873698013144845,1.4156226953373012,-1.856568032317526
1.0,0.37,pg,-1.889966575381945,0.13860307426190466,1.4201433480791168,-1.7512753287382072
1.0,0.38,liquid,-1.7909186347321828,0.1424164659399022,1.4586334742777993,-1.648146172522054
1.0,0.38,p2,-1.9985674064732146,0.14245856386768346,1.4151050739732138,-1.8560210588469241
1.0,0.38,p2gg,-1.99118924438244,0.14245051327653777,1.4166784517683544,-1.848650829724404
1.0,0.38,pg,-1.8895214907118048,0.14250773411644335,1.4179038090476166,-1.7469257700959913
1.0,0.39,liquid,-1.7822420163126727,0.14614629958927838,1.4610339635728236,-1.6357389016606583
1.0,0.39,p2,-1.9937992817844745,0.14617746311185495,1.4163769039843754,-1.847534396234137
1.0,0.39,p2gg,-1.98626629765749,0.14633772889459334,1.417998756583583,-1.8398407467802682
1.0,0.39,pg,-1.8831511097606644,0.14631407172532246,1.4211174599057563,-1.736748754024666
1.0,0.4,liquid,-1.7726489186950831,0.14988358881314098,1.4636565014960736,-1.6224078159304258
1.0,0.4,p2,-1.9889989517261908,0.14995994222023795,1.4173450263256442,-1.8389509223291405
1.0,0.4,p2gg,-1.9819075311321925,0.1498887128317212,1.4189239926376493,-1.8319307976293937
1.0,0.4,pg,-1.8757353704278272,0.14997407576339272,1.4239214891889884,-1.7256728871164153
1.0,0.42,liquid,-1.7543470496393452,0.15737154721969918,1.4688508391156363,-1.5966169324317752
1.0,0.42,p2,-1.9790325932031243,0.15737870989434516,1.4196991336631946,-1.8215655763921974
1.0,0.42,p2gg,-1.9735917682217259,0.15746027911111118,1.420889681130952,-1.8160434768449132
1.0,0.42,pg,-1.8706264104563488,0.15741565637065966,1.4242613993601208,-1.7131224284594218
1.0,0.45,liquid,-1.7274159325017961,0.16867292513858884,1.4767148083094082,-1.5583825813400394
1.0,0.45,p2,-1.963675232403273,0.16869026686272326,1.4233741290823418,-1.7948965992810686
1.0,0.45,p2gg,-1.960366329680059,0.1687552170809771,1.4238249690947429,-1.7915227726917267
1.0,0.45,pg,-1.8521744660615065,0.16867782061359132,1.4312628494060027,-1.683407935456776
1.0,0.5,liquid,-1.6833043724686072,0.18732565418573469,1.4901618331402555,-1.4956149408283306
1.0,0.5,p2,-1.9359944161433527,0.18764331766480638,1.4299013858110112,-1.7482622067587699
1.0,0.5,p2gg,-1.932295870131447,0.18762636769630442,1.4306154320238098,-1.7445807279357448
1.0,0.5,pg,-1.7472880537103188,0.1875815528974455,1.4694975119122025,-1.5596155669493819
1.0,0.55,liquid,-1.6407629192285174,0.2060862152470169,1.5038937871745166,-1.4343094759014254
1.0,0.55,p2,-1.684144767363591,0.20616940244357623,1.4929898061259905,-1.4778828867535319
1.0,0.55,p2gg,-1.640561840265377,0.2061784334763144,1.5041040992224697,-1.4342905084912405
1.0,0.55,pg,-1.6402881748276292,0.20604328673028294,1.504067319918154,-1.4341515847463113
1.0,0.6,liquid,-1.5988898812102528,0.22480175205560582,1.5181551000006845,-1.3737172720768391
1.0,0.7,liquid,-1.5187662184730935,0.2622776085540427,1.5476503054159647,-1.2561108207011147
13.5,1.33,liquid,-1.0501125844102543,0.49848736812572597,1.3004382403095767,-0.5473392005638694
13.5,1.33,p2,-1.247423845089284,0.4987193611625746,1.2798325310243042,-0.7476334804008444
13.5,1.33,p2gg,-1.2381151574317957,0.4988837492934024,1.2767067420448917,-0.7381625384064556
13.5,1.33,pg,-1.1400744850830853,0.4985287762235867,1.2823475306324403,-0.6404719781948428
13.5,1.35,liquid,-1.045371078060709,0.5058844684910949,1.3012965810594532,-0.5351974886133976
13.5,1.35,p2,-1.2443157100483622,0.5060084531894838,1.2802783269432045,-0.7372354960782466
13.5,1.35,p2gg,-1.2363315661532757,0.5063252945943699,1.2770424058333358,-0.7289374792062038
13.5,1.35,pg,-1.1380751067658736,0.5064182573348214,1.282780206974206,-0.6305833590573967
13.5,1.38,liquid,-1.0387438355542251,0.5171607876666275,1.3025533685686779,-0.5172904619888481
13.5,1.38,p2,-1.2405366227579362,0.5175319419759429,1.280962196334324,-0.7219323358913046
13.5,1.38,p2gg,-1.2308271658420136,0.5171999408482144,1.2771998835999503,-0.7125574347360587
13.5,1.38,pg,-1.13410686750868,0.5175884901798119,1.2836302472879457,-0.615444507906309
13.5,1.4,liquid,-1.034591216657775,0.5245165857087967,1.3032865117322736,-0.5057796171685128
13.5,1.4,p2,-1.2381662434424607,0.5245404268189481,1.2815066766406247,-0.7125536536999204
13.5,1.4,p2gg,-1.22956505294643,0.5244288684020336,1.277934589904514,-0.704066995223737
13.5,1.4,pg,-1.1322418159362604,0.5247623683464784,1.2839740663306047,-0.6064048423329716
13.5,1.45,liquid,-1.0241386315346046,0.5433933694940141,1.3052003535322443,-0.47644325982213653
13.5,1.45,p2,-1.2315020945349704,0.5437318196243799,1.2826977640823405,-0.6866970234824513
13.5,1.45,p2gg,-1.2218651426897322,0.5435911623340774,1.2786839165488584,-0.6772034214245614
13.5,1.45,pg,-1.1253051067075899,0.5435106715964787,1.2851862310441462,-0.5807181052919471
13.5,1.5,liquid,-1.0132788688089163,0.5622173679631457,1.3072234927277047,-0.4467535681167547
13.5,1.5,p2,-1.2239943421564972,0.5624112140337304,1.2838680643415168,-0.6605080977680953
13.5,1.5,p2gg,-1.2154424908829373,0.5624958705778775,1.2792950094444426,-0.6518755098939049
13.5,1.5,pg,-1.1187130222209813,0.5627029595234382,1.2864699812512408,-0.5549325059408052
13.5,1.6,liquid,-0.9926165283313109,0.5996189124595426,1.3111149483696098,-0.3886777183659903
13.5,1.6,p2,-1.2096985817931543,0.5999043836608378,1.2864082012388398,-0.6087172135618274
13.5,1.6,p2gg,-1.2030074272036217,0.6001232522100695,1.2813829554811509,-0.6018121474123195
13.5,1.6,pg,-1.1067138462251986,0.5995847081124754,1.2890137032242053,-0.5060503382495619
13.5,1.8,liquid,-0.9514198035877438,0.6747292994906231,1.3188249558288936,-0.2723432148633788
13.5,1.8,p2,-1.1799043256857642,0.6751960854290685,1.291621055570437,-0.5036263872532024
13.5,1.8,p2gg,-1.1713242540203372,0.6751139344432047,1.2865406972532256,-0.49513304648533957
13.5,1.8,pg,-1.0721663953087797,0.6748293062065966,1.295526885709326,-0.39625224111885565
13.5,2.0,liquid,-0.9126296223719943,0.7496574896822026,1.326415749976955,-0.1586004121316667
13.5,2.0,p2,-0.9449785299702378,0.750290968059276,1.321649224603175,-0.1935812552940013
13.5,2.0,p2gg,-1.1265982144816467,0.7498485446502975,1.2942340423102667,-0.37566612719226333
13.5,2.0,pg,-0.9137246461607138,0.7499377092646331,1.3259828424231148,-0.16267597467832517
13.5,2.2,liquid,-0.8754770788029548,0.8245372333276136,1.3338804516561267,-0.04654370922276283
13.5,2.2,p2,-0.8751377956944449,0.8243487860354664,1.3339091590612604,-0.04967217742370681
13.5,2.2,p2gg,-0.8758036551016863,0.8243345168030757,1.3338897408482135,-0.05035309277562528
13.5,2.2,pg,-0.8749714886830366,0.8243374059759427,1.3338068979811497,-0.04951695067282042
13.5,2.5,liquid,-0.8220722522202625,0.9369645533267595,1.3448444910208968,0.11932586304772135
13.5,3.0,liquid,-0.7389503210276853,1.1244474576639147,1.3627530684829543,0.38999008390937373
